fi-expense|15000
emergency-monthly-expense|2020|5|25000

comment|July 2020

income|salary|2020|7|55000
expense|day-to-day|2020|7|7000
expense|recurring|2020|7|12000
expense|home-loan-payment|2020|7|3000

asset|home|2020|7|1000000
liability|home-loan|2020|7|700000

asset|car|2020|7|98887
liability|car-loan|2020|7|20000

asset|cheque-account|2020|7|6636
asset|credit-card|2020|7|3198
liability|credit-card|2020|7|0
asset|tyme-goalsave|2020|7|100000

asset|ra-1|2020|7|120000
asset|preservation-1|2020|7|170000
asset|ra-2|2020|7|1500
asset|tfsa|2020|7|45000
asset|education-fund|2020|7|5000

emergency-fund|2020|7|140000

comment|Aug 2020

income|salary|2020|8|55000
expense|day-to-day|2020|8|8000
expense|recurring|2020|8|12000
expense|home-loan-payment|2020|8|3000

asset|home|2020|8|1000000
liability|home-loan|2020|8|800000

asset|car|2020|8|98887
liability|car-loan|2020|8|20000

asset|cheque-account|2020|8|6636
asset|credit-card|2020|8|3198
liability|credit-card|2020|8|0
asset|tyme-goalsave|2020|8|100000

asset|ra-1|2020|8|125000
asset|preservation-1|2020|8|17000
asset|ra-2|2020|8|1600
asset|tfsa|2020|8|80000
asset|education-fund|2020|8|5000

emergency-fund|2020|8|150000

comment|Sep 2020

income|salary|2020|9|50000
expense|day-to-day|2020|9|8500
expense|recurring|2020|9|11000
expense|home-loan-payment|2020|9|3000

asset|home|2020|9|1000000
liability|home-loan|2020|9|900000

asset|car|2020|9|98887
liability|car-loan|2020|9|20000

asset|cheque-account|2020|9|6636
asset|credit-card|2020|9|3198
liability|credit-card|2020|9|0
asset|tyme-goalsave|2020|9|100000

asset|ra-1|2020|9|125000
asset|preservation-1|2020|9|210000
asset|ra-2|2020|9|1800
asset|tfsa|2020|9|90000
asset|education-fund|2020|9|5000

emergency-fund|2020|9|151000

comment|tfsa
tfsa-contribution|2019|6|4100
tfsa-contribution|2019|8|2750
tfsa-contribution|2019|11|2750
tfsa-contribution|2020|1|500
tfsa-contribution|2020|2|500
tfsa-contribution|2020|3|6000
tfsa-contribution|2020|4|6000
tfsa-contribution|2020|5|6000
tfsa-contribution|2020|6|6000
tfsa-contribution|2020|7|6000
tfsa-contribution|2020|8|6000
